Score,MonoisotopicMass,SMILES,InChIKey,Name,NoExplPeaks,NumberPeaksUsed,InChI,MaximumTreeDepth,Identifier,ExplPeaks,InChIKey3,InChIKey2,InChIKey1,FragmenterScore,MolecularFormula,FragmenterScore_Values,FormulasOfExplPeaks
1.0,78.014,CS(=O)C,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,test,3,8,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,2,679,61.0115776062012_88.7;62.9908828735352_67.4;63.9986190795898_999.0,N,UHFFFAOYSA,IAZDPXIOMUYVGZ,273.21939470601694,C2H6OS,622.0;272.0;272.0,61.0115776062012:[C2H6S-H]+;62.9908828735352:[CH3OS]+;63.9986190795898:[CH3OS]+H+
1.0,78.0139355,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,Dimethyl sulfoxide,3,8,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,2,HMDB0002151,61.0115776062012_88.7;62.9908828735352_67.4;63.9986190795898_999.0,N,UHFFFAOYSA,IAZDPXIOMUYVGZ,273.21939470601694,C2H6OS,622.0;272.0;272.0,61.0115776062012:[C2H6S-H]+;62.9908828735352:[CH3OS]+;63.9986190795898:[CH3OS]+H+
