Score,MonoisotopicMass,SMILES,InChIKey,Name,NoExplPeaks,NumberPeaksUsed,InChI,MaximumTreeDepth,Identifier,ExplPeaks,InChIKey3,InChIKey2,InChIKey1,FragmenterScore,MolecularFormula,FragmenterScore_Values,FormulasOfExplPeaks
1.0,78.014,CS(=O)C,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,test,2,4,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,2,679,62.9906845092773_74.1;63.9986686706543_999.0,N,UHFFFAOYSA,IAZDPXIOMUYVGZ,245.34661903929023,C2H6OS,272.0;272.0,62.9906845092773:[CH3OS]+;63.9986686706543:[CH3OS]+H+
1.0,78.0139355,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,Dimethyl sulfoxide,2,4,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,2,HMDB0002151,62.9906845092773_74.1;63.9986686706543_999.0,N,UHFFFAOYSA,IAZDPXIOMUYVGZ,245.34661903929023,C2H6OS,272.0;272.0,62.9906845092773:[CH3OS]+;63.9986686706543:[CH3OS]+H+
