Score,MonoisotopicMass,SMILES,InChIKey,Name,NoExplPeaks,NumberPeaksUsed,InChI,MaximumTreeDepth,Identifier,ExplPeaks,InChIKey3,InChIKey2,InChIKey1,FragmenterScore,MolecularFormula,FragmenterScore_Values,FormulasOfExplPeaks
1.0,78.014,CS(=O)C,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,test,3,5,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,2,679,61.0115814208984_84.2;62.9908714294434_97.8;63.9986305236816_999.0,N,UHFFFAOYSA,IAZDPXIOMUYVGZ,282.1697651393817,C2H6OS,622.0;272.0;272.0,61.0115814208984:[C2H6S-H]+;62.9908714294434:[CH3OS]+;63.9986305236816:[CH3OS]+H+
1.0,78.0139355,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,Dimethyl sulfoxide,3,5,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,2,HMDB0002151,61.0115814208984_84.2;62.9908714294434_97.8;63.9986305236816_999.0,N,UHFFFAOYSA,IAZDPXIOMUYVGZ,282.1697651393817,C2H6OS,622.0;272.0;272.0,61.0115814208984:[C2H6S-H]+;62.9908714294434:[CH3OS]+;63.9986305236816:[CH3OS]+H+
